PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1344,86016,448,183,3,192,"(83, 205)",1,13,202,"(103, 225)",2,70,1,"(81, 175)",3,107,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1344,86464,448,157,3,193,"(83, 205)",2,13,203,"(103, 225)",2,71,1,"(81, 175)",3,108,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1344,86912,448,196,3,194,"(83, 205)",3,13,204,"(103, 225)",2,72,1,"(81, 175)",3,109,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,32256,448,217,4,72,"(83, 205)",4,14,82,"(103, 225)",3,71,78,"(81, 175)",70,0,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,86016,448,151,4,192,"(83, 205)",5,14,202,"(103, 225)",2,70,2,"(81, 175)",4,107,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,86464,448,120,4,193,"(83, 205)",6,14,203,"(103, 225)",2,71,2,"(81, 175)",4,108,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,86912,448,143,4,194,"(83, 205)",7,14,204,"(103, 225)",2,72,2,"(81, 175)",4,109,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,87360,448,129,4,195,"(83, 205)",8,14,205,"(103, 225)",2,73,2,"(81, 175)",4,110,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,1792,87808,448,186,4,196,"(83, 205)",9,14,206,"(103, 225)",2,74,2,"(81, 175)",4,111,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,2240,31808,448,206,5,71,"(83, 205)",10,15,81,"(103, 225)",3,70,79,"(81, 175)",69,1,"(81, 119)"
TCGA-44-7659,TCGA-44-7659-01Z-00-DX1.818bf5b3-b4c1-4d23-a6ae-98d5015eb8c1,2240,32256,448,131,5,72,"(83, 205)",11,15,82,"(103, 225)",3,71,79,"(81, 175)",70,1,"(81, 119)"
